codice_cliente,Luogo di Residenza,Indirizzo,Metratura,Sistema_Allarme
9643,Trieste,"Via Dante Alighieri, 10",110,False
9644,Milano,"Via Dante, 12",204,False
9646,Esperia,"Via Garibaldi, 29",167,False
9650,Marina Di Altidona,"Via Dante, 41",159,False
9654,Fortezza,"Via Matteotti, 17",96,False
9655,Pasturago,"Via Marconi, 98",232,False
9664,Calangianus,"Via Kennedy, 136",113,False
9669,Quassolo,"Via Vittorio Emanuele, 142",108,False
9670,Montaldo Di Mondovi',"Via Roma, 30",214,False
9671,Panocchia,"Via Vittorio Emanuele, 88",96,True
9672,Como,"Corso Italia, 76",106,True
9676,Pietracamela,"Via Matteotti, 41",102,False
9677,Venezia,"Calle della Mandola, 3703",101,False
9679,Bari,"Via Sparano, 125",97,True
9681,Reggio Calabria,"Lungomare Italo Falcomatà, 1",158,True
9686,Cinisi,"Corso Vittorio Emanuele II, 46",147,False
9687,Napoli,"Via San Gregorio Armeno, 8",83,False
9689,Ancona,"Corso Italia, 77",127,False
9690,Milano,"Via Cusani, 10",239,False
9691,Laghetto Di Castel Gandolfo,"Corso Vittorio Emanuele II, 51",161,True
9692,Venezia,"Calle Vallaresso, 1332",83,True
9693,Villa Carcina,"Corso Umberto, 42",97,False
9695,Lecce,"Via Augusto Imperatore, 19",139,False
9699,Bari,"Via Imbriani, 19",151,False
9700,Milano,"Corso Europa, 11",108,False
9704,Badualga,"Corso Vittorio Emanuele II, 1",109,True
9705,Milano,"Via Vigevano, 8",96,True
9706,Casanova Lanza,"Via Nazionale, 126",85,True
9707,Caldogno,"Via Roma, 29",197,False
9711,Grinzane Cavour,"Corso Umberto, 79",113,False
9712,Milano,"Via Washington, 70",111,True
9714,Cimbro,"Via Garibaldi, 62",205,True
9716,Milano,"Via Manzoni, 31",218,True
9717,Trieste,"Corso Cavour, 7",129,False
9719,Basiliano,"Via Mazzini, 22",98,False
9720,Bergamo,"Via Pignolo, 123",127,True
9722,Brescia,"Via X Giornate, 20",155,False
9723,Lecce,"Via Augusto Imperatore, 19",162,False
9724,Castel Di Tusa,"Via Dante, 33",241,False
9725,Milano,"Via Melchiorre Gioia, 55",132,True
9726,Milano,"Corso di Porta Ticinese, 87",199,False
9729,Bergamo,"Via Torquato Tasso, 36",140,False
9731,Napoli,"Viale Augusto, 23",64,False
9733,Brescia,"Piazza della Loggia, 1",88,False
9735,Bergamo,"Via Torquato Tasso, 36",246,True
9738,San Desiderio,"Via Matteotti, 55",119,False
9739,Ghiffa,"Via Cavour, 80",142,False
9743,Milano,"Corso Magenta, 96",227,True
9744,Felonica,"Corso Umberto, 113",189,False
9745,Schlanders,"Corso Vittorio Emanuele II, 116",205,False
9746,Santi Lorenzo E Flaviano,"Corso Italia, 64",109,False
9747,Bruzzano,"Piazza Duomo, 17",138,True
9749,Reggio Calabria,"Piazza Italia, 1",156,True
9751,Milano,"Via Torino, 45",104,True
9754,Sovana,"Piazza Duomo, 57",56,False
9755,Beffi,"Via Roma, 19",196,False
9760,Trieste,"Via della Geppa, 5",73,False
9762,Borgo Verde,"Via Garibaldi, 59",116,False
9763,Bari,"Corso Vittorio Emanuele II, 11",89,False
9764,Nerito,"Via Garibaldi, 85",83,False
9766,Milano,"Via Dante, 12",104,False
9767,Somma Lombardo,"Corso Vittorio Emanuele II, 61",112,False
9769,Lu Lioni,"Via Vittorio Emanuele, 125",203,True
9772,Sant'Andrea Di Conza,"Via Cavour, 139",140,True
9774,Reggio Calabria,"Corso Vittorio Emanuele III, 2",113,False
9776,Portella Di Mare,"Piazza della Repubblica, 63",103,True
9777,Platt,"Piazza della Repubblica, 105",125,False
9778,Napoli,"Via Petrarca, 101",116,True
9782,Napoli,"Via Roma, 87",202,False
9783,Genova,"Via Balbi, 10",129,True
9784,Firenze,"Borgo Ognissanti, 26",236,False
9785,Bergamo,"Via Colleoni, 9",155,True
9786,Milano,"Via Tortona, 27",230,True
9787,Trieste,"Via San Nicolò, 30",225,False
9788,Milano,"Via Savona, 17",182,False
9790,Napoli,"Via Diaz, 29",210,False
9792,Trieste,"Via Carducci, 5",193,True
9793,Brescia,"Via Mazzini, 68",92,True
9794,Brescia,"Via Mazzini, 68",168,False
9795,Como,"Corso Italia, 16",203,False
9797,Como,"Via Marconi, 87",199,False
9798,Milano,"Via San Marco, 9",132,True
9800,Torino,"Via Garibaldi, 25",170,False
9801,Sarezzano,"Piazza Duomo, 50",215,True
9802,Calice Al Cornoviglio,"Via Cavour, 138",110,False
9803,Ancona,"Via Kennedy, 36",144,True
9804,Solignano,"Via Matteotti, 47",225,True
9807,Piegaio,"Via Vittorio Emanuele, 119",203,False
9811,San Germano,"Piazza Duomo, 20",113,False
9816,Nave,"Via Kennedy, 141",99,False
9817,Tabellano,"Corso Italia, 13",167,False
9818,Crocette,"Via Roma, 24",255,True
9819,Cavi,"Piazza Duomo, 43",144,True
9820,Valsecca,"Via Matteotti, 125",173,False
9821,Lugnacco,"Piazza della Repubblica, 55",126,False
9822,Fiumetto,"Via Marconi, 16",221,False
9826,Gaggiolo,"Via Verdi, 98",242,True
9827,Castel Cellesi,"Via Roma, 100",187,False
9828,Torino,"Corso Vinzaglio, 14",171,False
9829,Santa Severina,"Via Kennedy, 74",118,False
9830,Napoli,"Corso Vittorio Emanuele, 292",219,False
9831,Saltaus,"Piazza della Repubblica, 40",105,True
9834,Torano,"Via Cavour, 76",121,False
9835,Milano,"Viale Monza, 125",102,True
9836,Paratico,"Via Garibaldi, 149",152,False
9837,Torino,"Via Maria Vittoria, 3",222,False
9840,Levone,"Via Garibaldi, 81",229,False
9848,Borzonasca,"Via Garibaldi, 13",95,False
9853,Bertipaglia,"Piazza della Repubblica, 129",127,False
9854,Como,"Corso Vittorio Emanuele II, 41",104,True
9859,Napoli,"Corso Umberto I, 12",68,True
9860,Firenze,"Via Calzaiuoli, 50",165,False
9863,Milano,"Via Borgogna, 7",135,True
9868,Brescia,"Corso Palestro, 45",123,False
9869,Firenze,"Via Calzaiuoli, 50",151,True
9870,Bergamo,"Via Angelo Mai, 5",139,False
9872,Simbario,"Via Mazzini, 61",212,True
9873,Marcaria,"Via Marconi, 31",154,True
9876,Leverano,"Piazza Duomo, 149",137,True
9877,Tessano,"Via Garibaldi, 21",128,False
9878,Limite Sull'Arno,"Via Matteotti, 150",139,True
9880,Li Teggi,"Corso Vittorio Emanuele II, 81",131,True
9881,Maranola,"Via Vittorio Emanuele, 53",111,True
9882,Occhieppo Superiore,"Via Nazionale, 62",241,False
9883,Milano,"Corso Sempione, 34",171,True
9887,Sissa,"Via Marconi, 34",126,False
9889,Torrepaduli,"Via XX Settembre, 118",230,True
9890,Arixi,"Via Nazionale, 19",212,False
9891,Torino,"Via Roma, 315",102,False
9892,Solferino,"Via Kennedy, 145",90,False
9894,Como,"Corso Italia, 19",144,True
9895,Napoli,"Via Tribunali, 39",160,False
9896,Trieste,"Via Cesare Battisti, 18",110,False
9900,Palu',"Corso Vittorio Emanuele II, 68",121,True
9902,Napoli,"Via Caracciolo, 45",169,True
9905,Buggiano,"Corso Umberto, 18",77,True
9906,Picciorana,"Piazza Duomo, 95",137,False
9907,Ancona,"Via XX Settembre, 41",112,True
9910,Trieste,"Via Dante Alighieri, 10",144,True
9913,Trieste,"Via Mazzini, 21",127,False
9914,Ancona,"Via XX Settembre, 136",224,False
9918,San Giorgio Al Tagliamento,"Via Roma, 142",166,False
9919,Brescia,"Piazza della Loggia, 1",134,False
9920,Borgo Bonsignore,"Corso Italia, 35",176,True
9921,Corigliano Calabro Stazione,"Via Vittorio Emanuele, 30",165,False
9922,Brescia,"Via X Giornate, 20",98,True
9923,Campoli Di Caulonia,"Via Dante, 70",140,False
9926,Torino,"Via Nizza, 230",130,False
9929,Göflan,"Via Cavour, 88",114,True
9930,Cosio Stazione,"Via Cavour, 68",223,False
9931,Piane Di Montegiorgio,"Corso Vittorio Emanuele II, 126",110,True
9937,Monte Romano,"Via Vittorio Emanuele, 14",84,False
9938,Napoli,"Via Chiaia, 149",73,True
9939,Firenze,"Borgo Ognissanti, 26",108,False
9940,Fonterosa,"Via Vittorio Emanuele, 12",145,False
9941,Dolegna Del Collio,"Via Roma, 86",114,False
9942,Genova,"Via Cairoli, 1",114,True
9943,Trieste,"Piazza Goldoni, 10",95,True
9944,Napoli,"Via Santa Lucia, 15",82,True
9946,Tribogna,"Via Verdi, 114",239,False
9948,Santa Tecla Di Acireale,"Via Matteotti, 144",208,True
9950,Capalbio Stazione,"Via Roma, 29",246,True
9951,Bergamo,"Viale Papa Giovanni XXIII, 106",199,True
9953,Accadia,"Via Dante, 140",163,False
9959,Terraseo,"Via Garibaldi, 95",122,True
9960,Venezia,"Lista di Spagna, 168",181,False
9961,Trieste,"Via Mazzini, 21",87,False
9963,Genova,"Via Cairoli, 1",216,False
9967,Avena,"Via Matteotti, 33",109,False
9969,Cesate,"Via Garibaldi, 79",86,False
9972,Sant'Agostino,"Corso Umberto, 11",140,True
9973,Selegas,"Corso Umberto, 54",118,True
9974,Frescada,"Piazza Duomo, 27",93,False
9975,Melag,"Corso Umberto, 144",131,True
9978,Cernobbio,"Via Matteotti, 40",143,False
9982,Riesci,"Piazza Duomo, 42",105,False
9983,Grisolia,"Via Verdi, 106",126,False
9985,Napoli,"Via Toledo, 256",118,False
9986,Ancona,"Via Verdi, 86",129,True
9987,Nogara,"Via Matteotti, 64",194,False
9988,Ancona,"Via Vittorio Emanuele, 41",168,False
9990,Firenze,"Borgo San Lorenzo, 17",108,True
9992,Torino,"Via Cernaia, 23",210,False
9993,Campil,"Via Garibaldi, 121",144,False
9994,Napoli,"Via Crispi, 69",119,False
9996,Campodarsego,"Via Cavour, 118",138,False
9997,Circello,"Corso Umberto, 79",211,True
9999,Ancona,"Piazza Duomo, 58",211,True
10002,Ancona,"Via Roma, 50",121,False
10004,Delia,"Via Marconi, 85",181,False
10006,Nerviano,"Via Vittorio Emanuele, 18",132,False
10007,Napoli,"Via Sanfelice, 17",155,False
10008,Torino,"Corso Vinzaglio, 14",188,True
10009,Piane Crati,"Corso Umberto, 131",141,True
10011,Fontecchio,"Via Marconi, 138",130,False
10013,Molveno,"Via Nazionale, 8",82,True
10015,Venezia,"Strada Nova, 3829",208,True
10017,Scorze',"Via Vittorio Emanuele, 46",201,False
10019,Napoli,"Spaccanapoli, 18",120,False
10020,Pietramala,"Via Vittorio Emanuele, 10",137,False
10021,Santo Stefano Di Magra,"Corso Italia, 112",161,False
10025,Castiglione Del Genovesi,"Corso Umberto, 81",150,True
10026,Milano,"Via Tortona, 27",116,False
10030,Limone Sul Garda,"Corso Vittorio Emanuele II, 30",148,False
10031,Napoli,"Via Luca Giordano, 32",216,True
10034,Reggio Calabria,"Via Cimino, 6",203,False
10044,Nardodipace,"Via Cavour, 66",102,True
10047,Genova,"Via Roma, 11",186,True
10050,Milano,"Via Vittorio Veneto, 3",121,True
10054,Trieste,"Via San Nicolò, 30",160,False
10055,Azeglio,"Via Roma, 134",171,True
10058,San Giovanni Reatino,"Via Cavour, 94",91,True
10062,Oberolang,"Via Matteotti, 18",153,True
10063,Genova,"Via Fieschi, 15",103,True
10064,San Lorenzello,"Via Nazionale, 32",117,False
10065,Bergamo,"Piazza Vecchia, 8",169,False
10066,Genova,"Via Gramsci, 2",82,False
10067,Bergamo,"Largo Porta Nuova, 2",239,False
10069,Trieste,"Via San Nicolò, 30",175,False
10072,Carpinone,"Via Nazionale, 104",213,True
10073,Montaldeo,"Via XX Settembre, 142",170,False
10076,Napoli,"Via Caracciolo, 45",134,False
10077,Villa Baggio,"Via Cavour, 108",118,False
10080,Francenigo,"Via Marconi, 45",98,False
10081,Napoli,"Via dei Mille, 40",125,True
10083,Finalborgo,"Via XX Settembre, 104",248,False
10084,Lecce,"Via Augusto Imperatore, 19",64,True
10085,Firenze,"Via de' Tornabuoni, 19",221,False
10088,Laino,"Via XX Settembre, 74",110,False
10089,Milano,"Viale Monza, 125",164,False
10090,Milano,"Via Tortona, 27",168,False
10091,Bari,"Via Imbriani, 19",141,True
10092,Trieste,"Corso Cavour, 7",180,False
10093,Camerano Casasco,"Via Nazionale, 120",77,False
10096,Barchi Di Asola,"Via Kennedy, 114",145,False
10100,Rueglio,"Via Cavour, 131",59,True
10102,Bari,"Via Dante Alighieri, 27",82,True
10105,Torrioni,"Via Verdi, 22",240,False
10108,Bardi,"Via XX Settembre, 132",138,False
10109,Carsoli,"Via Nazionale, 24",143,False
10110,Como,"Piazza Duomo, 80",104,False
10111,Lecce,"Via Palmieri, 72",147,True
10114,Brescia,"Via Gramsci, 17",125,False
10115,Marano Sul Panaro,"Via Dante, 7",89,False
10119,Marina Di Ascea,"Via Garibaldi, 63",238,False
10120,Milano,"Corso di Porta Ticinese, 87",240,False
10121,Trepuzzi,"Via Mazzini, 117",106,True
10122,Kaltern,"Via Matteotti, 148",138,True
10125,Frattamaggiore,"Via Cavour, 99",228,False
10126,Bari,"Via Dante Alighieri, 27",227,False
10127,Bergamo,"Corsarola, 3",83,False
10128,Torino,"Via Carlo Alberto, 33",68,False
10131,Napoli,"Via Caracciolo, 45",122,False
10134,Belricetto,"Via Roma, 28",154,True
10136,Nespolo,"Via Matteotti, 57",138,False
10137,Santa Maria Di Sala,"Via Verdi, 133",107,True
10138,Magione,"Via Kennedy, 13",237,True
10141,Linaro,"Piazza Duomo, 32",188,False
10142,Forno Allione,"Via Kennedy, 35",110,False
10143,Ancona,"Via Kennedy, 136",120,False
10145,Osio Sotto,"Via Nazionale, 114",150,True
10146,Sorso,"Corso Vittorio Emanuele II, 110",96,True
10147,San Nicolo' Po,"Via Kennedy, 41",237,True
10148,Tremestieri Etneo,"Piazza della Repubblica, 116",238,True
10149,Pieve D'Olmi,"Via Vittorio Emanuele, 64",114,True
10150,Loiri Porto San Paolo,"Via Vittorio Emanuele, 134",135,False
10151,Bergamo,"Via Pignolo, 123",115,True
10152,Torino,"Corso Matteotti, 11",155,True
10153,Roburent,"Piazza Duomo, 71",112,False
10154,Trieste,"Via Dante Alighieri, 10",211,False
10155,Napoli,"Via Chiaia, 149",135,False
10157,Testa Di Lepre,"Via XX Settembre, 61",187,True
10158,Traversetolo,"Via Vittorio Emanuele, 86",175,False
10159,Como,"Via Nazionale, 139",267,False
10160,Milano,"Via Dante, 12",173,False
10162,Milano,"Corso Venezia, 15",134,False
10169,Firenze,"Via dei Calzaiuoli, 89",85,True
10170,Limite Sull'Arno,"Piazza Duomo, 99",115,True
10171,Firenze,"Via dei Calzaiuoli, 89",241,False
10173,Como,"Via Cavour, 17",117,False
10174,Bedizzole,"Via Matteotti, 105",128,False
10175,Mugarone,"Via Nazionale, 139",107,True
10176,Napoli,"Via Foria, 124",134,True
10179,Bari,"Via Amendola, 172",176,False
10180,Ricco' Nel Frignano,"Via Garibaldi, 53",204,False
10182,Torino,"Via della Consolata, 1",239,False
10185,Macchia Vomano,"Via Marconi, 150",166,False
10186,Venezia,"Ruga Giuffa, 4793",119,True
10187,Gattolino,"Via Roma, 148",149,False
10189,Napoli,"Via Luca Giordano, 32",152,True
10192,Milano,"Corso di Porta Ticinese, 87",69,False
10193,Carrara San Giorgio,"Via Roma, 91",78,False
10194,Scheggino,"Via XX Settembre, 100",183,True
10195,Genova,"Vico del Ferro, 5",151,True
10196,Fogliano,"Piazza Duomo, 125",105,False
10200,Plesio,"Piazza Duomo, 70",225,False
10201,Bari,"Via Amendola, 172",147,False
10203,Rontagnano,"Piazza della Repubblica, 8",111,False
10204,Genova,"Salita Santa Caterina, 3",179,False
10205,Vagli Sotto,"Via Nazionale, 104",132,True
10206,Bergamo,"Via Sant'Alessandro, 43",211,False
10208,Orte Scalo,"Via Kennedy, 33",165,False
10212,Firenze,"Via de' Tornabuoni, 19",140,True
10213,Torino,"Via Cernaia, 23",112,False
10214,Venezia,"Lista di Spagna, 168",216,False
10221,Como,"Via Roma, 22",143,False
10222,Como,"Via Matteotti, 35",89,True
10224,Belricetto,"Via Kennedy, 47",208,False
10225,Napoli,"Corso Umberto I, 12",107,False
10227,Vazzola,"Via Vittorio Emanuele, 98",114,False
10230,Sant'Andrea Del Garigliano,"Via Nazionale, 55",136,False
10236,Villa Di Chiavenna,"Via Kennedy, 84",94,False
10238,Trieste,"Via Roma, 7",184,False
10239,Tivegna,"Via Marconi, 72",142,False
10240,Santa Maria Nuova,"Via Matteotti, 65",207,False
10243,Brescia,"Via X Giornate, 20",190,False
10245,Chiaromonte,"Piazza della Repubblica, 5",104,False
10247,Napoli,"Via Diaz, 29",110,True
10249,Carbonera,"Via Garibaldi, 90",96,False
10251,Venezia,"Salizada San Moisè, 1459",218,True
10253,Calamecca,"Via Mazzini, 11",218,False
10254,Brescia,"Corso Zanardelli, 34",145,False
10255,Trieste,"Via Cesare Battisti, 18",259,False
10256,Como,"Via Cavour, 6",179,False
10259,Ancona,"Via Dante, 62",167,False
10263,Montedivalli,"Via Dante, 122",93,True
10264,Milano,"Via Melchiorre Gioia, 55",106,False
10265,Milano,"Via Manzoni, 38",151,True
10269,Napoli,"Spaccanapoli, 18",108,False
10271,Milano,"Viale Monza, 125",230,False
10272,Milano,"Via Savona, 17",116,True
10277,Zelbio,"Via Vittorio Emanuele, 95",134,False
10278,Moncigoli,"Via Verdi, 30",124,True
10281,Torino,"Corso Re Umberto, 56",146,False
10282,Civitella Licinio,"Via XX Settembre, 28",244,True
10285,Milano,"Viale Papiniano, 22",114,False
10288,Milano,"Via Torino, 45",100,False
10292,Gattorna,"Via XX Settembre, 148",149,True
10293,Torino,"Via Arsenale, 17",152,False
10296,Torino,"Via Cernaia, 23",76,False
10299,Serra,"Via Marconi, 51",129,False
10300,San Marzanotto,"Via Mazzini, 63",94,False
10303,Scerne,"Corso Italia, 78",136,False
10304,Santa Maddalena,"Corso Italia, 145",104,False
10305,Nidastore,"Via Garibaldi, 89",100,True
10307,Lecce,"Via Augusto Imperatore, 19",149,False
10309,Ancona,"Via Matteotti, 95",92,False
10310,Trieste,"Corso Italia, 6",224,True
10311,Milano,"Via Paolo Sarpi, 45",126,False
10315,Corticella,"Via Nazionale, 4",235,False
10316,Vittuone,"Via Matteotti, 126",171,False
10322,Aielli,"Corso Italia, 111",155,False
10323,Napoli,"Via Scarlatti, 88",121,False
10326,Comiziano,"Via Kennedy, 40",124,False
10327,Alzano Lombardo,"Via Matteotti, 46",206,False
10328,Montallese,"Corso Vittorio Emanuele II, 70",135,False
10330,Napoli,"Via dei Mille, 40",171,True
10331,Ancona,"Piazza della Repubblica, 120",110,True
10332,Bari,"Via Amendola, 172",240,False
10334,Napoli,"Via Diaz, 29",140,True
10335,Mandriola,"Via Vittorio Emanuele, 83",65,False
10340,Firenze,"Via Por Santa Maria, 17",152,True
10345,Banco,"Via Mazzini, 72",131,False
10346,Napoli,"Via Foria, 124",95,False
10347,Traversetolo,"Piazza Duomo, 119",232,False
10349,Bergamo,"Via Angelo Mai, 5",82,True
10350,Burgos,"Via Marconi, 87",88,False
10351,Trieste,"Via Carducci, 5",130,False
10352,Bari,"Via Dante Alighieri, 27",220,False
10354,Lucca Sicula,"Via Nazionale, 47",153,False
10355,Reggio Calabria,"Via Filippini, 23",110,True
10356,Firenze,"Lungarno Corsini, 4",235,False
10357,Colubro,"Corso Umberto, 67",251,True
10362,Giais,"Via Nazionale, 72",81,False
10364,Monterosso Grana,"Via Vittorio Emanuele, 143",151,False
10365,Reggio Calabria,"Corso Garibaldi, 456",192,True
10366,Agliano Terme,"Corso Vittorio Emanuele II, 49",133,True
10367,Ottiolu,"Via Mazzini, 62",148,False
10369,Venezia,"Ruga Giuffa, 4793",80,True
10371,Piana Di Cerchiara,"Via Matteotti, 126",90,True
10373,Torino,"Corso San Maurizio, 25",87,False
10374,Rogliano,"Piazza Duomo, 122",166,False
10379,Napoli,"Piazza Garibaldi, 91",113,False
10381,Bergamo,"Via Pignolo, 123",147,False
10383,Kaltenbrunn,"Via Kennedy, 5",143,False
10387,Como,"Via Mazzini, 76",183,True
10390,Milano,"Via Washington, 70",140,False
10392,Venezia,"Campo San Polo, 2102",141,False
10394,Azzone,"Piazza Duomo, 79",125,True
10395,Bari,"Corso Italia, 12",101,False
10397,Rondissone,"Corso Umberto, 122",110,False
10398,Milano,"Via Farini, 32",128,True
10400,Nesima Inferiore,"Corso Vittorio Emanuele II, 89",121,True
10403,Venezia,"Campo San Polo, 2102",118,False
10404,Michellorie,"Via Nazionale, 91",122,False
10406,Roccaraso,"Via Kennedy, 70",135,False
10408,Bari,"Lungomare Nazario Sauro, 15",138,False
10411,Portile,"Via Vittorio Emanuele, 60",127,False
10413,Firenze,"Borgo San Lorenzo, 17",258,False
10415,Druento,"Via Cavour, 81",197,True
10417,Como,"Corso Italia, 138",147,False
10418,Minturno,"Via Verdi, 50",204,True
10419,Milano,"Viale Monza, 125",215,True
10421,Napoli,"Via Diaz, 29",166,False
10422,Bojon,"Piazza della Repubblica, 71",122,False
10426,Corio,"Corso Vittorio Emanuele II, 73",213,False
10429,Salve,"Corso Italia, 50",102,False
10430,Cepagatti,"Via XX Settembre, 59",151,False
10431,Napoli,"Via Scarlatti, 88",199,False
10433,Cisterna Di Latina,"Via Verdi, 78",143,True
10434,Trieste,"Via Carducci, 5",109,False
10435,Como,"Via Dante, 71",159,False
10441,Santa Venera,"Via Garibaldi, 14",156,False
10443,Torino,"Corso San Maurizio, 25",116,True
10446,Firenze,"Via del Corso, 6",90,False
10448,Colonnella,"Via Dante, 126",114,False
10449,Ancona,"Corso Italia, 4",250,True
10450,Lauzzana,"Via XX Settembre, 121",143,False
10453,Castelnuovo Al Volturno,"Piazza della Repubblica, 113",102,False
10456,Napoli,"Via Partenope, 36",135,False
10457,Ancona,"Via Verdi, 14",141,False
10462,Napoli,"Via Santa Lucia, 15",109,True
10463,Arnone,"Piazza della Repubblica, 30",120,False
10465,Reggio Calabria,"Via Tommaso Campanella, 63",205,False
10469,Genova,"Salita Santa Caterina, 3",235,False
10470,Isola,"Piazza della Repubblica, 19",252,False
10472,Cadegliano Viconago,"Via Garibaldi, 39",145,False
10475,Bergamo,"Via Sant'Alessandro, 43",162,True
10476,Ciorlano,"Via XX Settembre, 22",143,False
10477,Murello,"Piazza Duomo, 31",157,False
10478,Firenze,"Borgo Ognissanti, 26",165,False
10479,Magliano Romano,"Piazza Duomo, 134",111,False
10480,Crosarol,"Via Marconi, 116",128,True
10481,Camporovere,"Via Kennedy, 77",135,False
10483,Arco,"Via Matteotti, 79",181,True
10492,Firenze,"Via Roma, 1",203,False
10494,Bergamo,"Via Angelo Mai, 5",235,False
10497,Como,"Corso Italia, 54",83,True
10498,Napoli,"Piazza Garibaldi, 91",87,False
10500,Reggio Calabria,"Via Osanna, 7",95,False
10504,Galati,"Via Vittorio Emanuele, 21",118,False
10507,Torino,"Corso Re Umberto, 56",122,False
10509,Bergamo,"Via Borfuro, 6",214,True
10510,Torino,"Corso Re Umberto, 56",139,True
10513,Casalnuovo Di Napoli,"Via Mazzini, 41",152,False
10515,Laerru,"Via Roma, 105",118,False
10517,Brescia,"Corso Magenta, 62",104,True
10518,Castelspina,"Piazza della Repubblica, 75",266,True
10521,Napoli,"Corso Umberto I, 12",165,True
10522,St. Oswald,"Piazza Duomo, 74",120,False
10525,Marano Sul Panaro,"Via XX Settembre, 117",99,True
10526,Giardino,"Via Mazzini, 60",198,False
10528,Torino,"Corso Vinzaglio, 14",113,False
10529,Lesignano Palmia,"Via Cavour, 109",133,True
10530,Monteleone Sabino,"Corso Italia, 140",137,False
10531,Brescia,"Via Gramsci, 17",150,True
10532,Trieste,"Piazza Goldoni, 10",94,False
10533,Trieste,"Piazza dell'Unità d'Italia, 4",142,False
10534,Premolo,"Via Vittorio Emanuele, 37",127,False
10538,Mossini,"Via Mazzini, 16",154,False
10542,Trieste,"Piazza dell'Unità d'Italia, 4",183,False
10544,Bari,"Via Imbriani, 19",115,True
10545,Milano,"Via Brera, 6",124,False
10547,Triana,"Via XX Settembre, 113",198,False
